month,dimension,segment,weight
2021-04,品牌,一线品牌,33.4
2021-04,品牌,二线品牌,26.7
2021-04,品牌,设计师品牌,22.8
2021-04,品牌,白牌,17.1
2021-04,环保等级,ENF级,37.4
2021-04,环保等级,E0级,31.7
2021-04,环保等级,E1级,18.0
2021-04,环保等级,未标注,12.9
2021-05,材质,实木,37.4
2021-05,材质,板式,25.2
2021-05,材质,布艺,21.6
2021-05,材质,皮质,15.8
2021-05,价格段,5千以下,27.0
2021-05,价格段,5千-1万,31.4
2021-05,价格段,1万-2万,24.8
2021-05,价格段,2万以上,16.9
2021-05,品牌,一线品牌,33.4
2021-05,品牌,二线品牌,27.1
2021-05,品牌,设计师品牌,21.9
2021-05,品牌,白牌,17.6
2021-05,环保等级,ENF级,38.0
2021-05,环保等级,E0级,31.6
2021-05,环保等级,E1级,18.1
2021-05,环保等级,未标注,12.3
2021-06,材质,实木,39.7
2021-06,材质,板式,23.8
2021-06,材质,布艺,20.7
2021-06,材质,皮质,15.8
2021-06,价格段,5千以下,27.5
2021-06,价格段,5千-1万,31.6
2021-06,价格段,1万-2万,23.5
2021-06,价格段,2万以上,17.4
2021-06,品牌,一线品牌,32.8
2021-06,品牌,二线品牌,26.5
2021-06,品牌,设计师品牌,22.0
2021-06,品牌,白牌,18.6
2021-06,环保等级,ENF级,39.0
2021-06,环保等级,E0级,32.1
2021-06,环保等级,E1级,17.6
2021-06,环保等级,未标注,11.4
2021-07,材质,实木,38.7
2021-07,材质,板式,25.2
2021-07,材质,布艺,20.8
2021-07,材质,皮质,15.2
2021-07,价格段,5千以下,27.0
2021-07,价格段,5千-1万,31.7
2021-07,价格段,1万-2万,23.9
2021-07,价格段,2万以上,17.4
2021-07,品牌,一线品牌,33.4
2021-07,品牌,二线品牌,25.6
2021-07,品牌,设计师品牌,22.9
2021-07,品牌,白牌,18.1
2021-07,环保等级,ENF级,39.1
2021-07,环保等级,E0级,32.0
2021-07,环保等级,E1级,17.7
2021-07,环保等级,未标注,11.3
2021-08,材质,实木,40.0
2021-08,材质,板式,25.7
2021-08,材质,布艺,19.4
2021-08,材质,皮质,14.9
2021-08,价格段,5千以下,26.5
2021-08,价格段,5千-1万,31.2
2021-08,价格段,1万-2万,24.2
2021-08,价格段,2万以上,18.0
2021-08,品牌,一线品牌,33.4
2021-08,品牌,二线品牌,26.8
2021-08,品牌,设计师品牌,22.1
2021-08,品牌,白牌,17.6
2021-08,环保等级,ENF级,40.8
2021-08,环保等级,E0级,31.5
2021-08,环保等级,E1级,16.6
2021-08,环保等级,未标注,11.1
2021-09,材质,实木,39.9
2021-09,材质,板式,25.4
2021-09,材质,布艺,19.7
2021-09,材质,皮质,15.0
2021-09,价格段,5千以下,27.2
2021-09,价格段,5千-1万,31.7
2021-09,价格段,1万-2万,24.2
2021-09,价格段,2万以上,16.9
2021-09,品牌,一线品牌,33.9
2021-09,品牌,二线品牌,26.8
2021-09,品牌,设计师品牌,22.6
2021-09,品牌,白牌,16.7
2021-09,环保等级,ENF级,40.0
2021-09,环保等级,E0级,32.3
2021-09,环保等级,E1级,17.9
2021-09,环保等级,未标注,9.9
2021-10,材质,实木,40.0
2021-10,材质,板式,24.0
2021-10,材质,布艺,19.5
2021-10,材质,皮质,16.4
2021-10,价格段,5千以下,27.4
2021-10,价格段,5千-1万,31.7
2021-10,价格段,1万-2万,23.5
2021-10,价格段,2万以上,17.5
2021-10,品牌,一线品牌,34.0
2021-10,品牌,二线品牌,27.7
2021-10,品牌,设计师品牌,21.8
2021-10,品牌,白牌,16.6
2021-10,环保等级,ENF级,39.9
2021-10,环保等级,E0级,32.9
2021-10,环保等级,E1级,16.8
2021-10,环保等级,未标注,10.4
2021-11,材质,实木,40.1
2021-11,材质,板式,24.5
2021-11,材质,布艺,19.4
2021-11,材质,皮质,16.0
2021-11,价格段,5千以下,27.8
2021-11,价格段,5千-1万,30.9
2021-11,价格段,1万-2万,24.5
2021-11,价格段,2万以上,16.8
2021-11,品牌,一线品牌,34.9
2021-11,品牌,二线品牌,25.9
2021-11,品牌,设计师品牌,22.2
2021-11,品牌,白牌,17.1
2021-11,环保等级,ENF级,40.3
2021-11,环保等级,E0级,31.5
2021-11,环保等级,E1级,16.6
2021-11,环保等级,未标注,11.6
2021-12,材质,实木,39.4
2021-12,材质,板式,23.5
2021-12,材质,布艺,20.6
2021-12,材质,皮质,16.4
2021-12,价格段,5千以下,26.4
2021-12,价格段,5千-1万,31.8
2021-12,价格段,1万-2万,24.6
2021-12,价格段,2万以上,17.2
2021-12,品牌,一线品牌,33.1
2021-12,品牌,二线品牌,27.1
2021-12,品牌,设计师品牌,23.0
2021-12,品牌,白牌,16.9
2021-12,环保等级,ENF级,41.2
2021-12,环保等级,E0级,31.5
2021-12,环保等级,E1级,16.7
2021-12,环保等级,未标注,10.6
2022-01,材质,实木,38.9
2022-01,材质,板式,24.5
2022-01,材质,布艺,19.9
2022-01,材质,皮质,16.8
2022-01,价格段,5千以下,25.8
2022-01,价格段,5千-1万,31.7
2022-01,价格段,1万-2万,24.2
2022-01,价格段,2万以上,18.2
2022-01,品牌,一线品牌,33.5
2022-01,品牌,二线品牌,26.5
2022-01,品牌,设计师品牌,22.8
2022-01,品牌,白牌,17.2
2022-01,环保等级,ENF级,39.2
2022-01,环保等级,E0级,31.9
2022-01,环保等级,E1级,17.4
2022-01,环保等级,未标注,11.5
2022-02,材质,实木,38.0
2022-02,材质,板式,24.9
2022-02,材质,布艺,19.3
2022-02,材质,皮质,17.8
2022-02,价格段,5千以下,26.9
2022-02,价格段,5千-1万,30.6
2022-02,价格段,1万-2万,24.8
2022-02,价格段,2万以上,17.7
2022-02,品牌,一线品牌,34.5
2022-02,品牌,二线品牌,26.4
2022-02,品牌,设计师品牌,22.9
2022-02,品牌,白牌,16.3
2022-02,环保等级,ENF级,39.9
2022-02,环保等级,E0级,30.8
2022-02,环保等级,E1级,17.1
2022-02,环保等级,未标注,12.2
2022-03,材质,实木,39.1
2022-03,材质,板式,24.5
2022-03,材质,布艺,19.5
2022-03,材质,皮质,16.9
2022-03,价格段,5千以下,26.3
2022-03,价格段,5千-1万,30.2
2022-03,价格段,1万-2万,25.2
2022-03,价格段,2万以上,18.3
2022-03,品牌,一线品牌,33.8
2022-03,品牌,二线品牌,26.7
2022-03,品牌,设计师品牌,23.3
2022-03,品牌,白牌,16.2
2022-03,环保等级,ENF级,39.8
2022-03,环保等级,E0级,31.4
2022-03,环保等级,E1级,17.3
2022-03,环保等级,未标注,11.5
2022-04,材质,实木,39.4
2022-04,材质,板式,24.3
2022-04,材质,布艺,19.3
2022-04,材质,皮质,17.0
2022-04,价格段,5千以下,26.9
2022-04,价格段,5千-1万,31.3
2022-04,价格段,1万-2万,24.3
2022-04,价格段,2万以上,17.5
2022-04,品牌,一线品牌,33.6
2022-04,品牌,二线品牌,26.2
2022-04,品牌,设计师品牌,23.1
2022-04,品牌,白牌,17.1
2022-04,环保等级,ENF级,39.8
2022-04,环保等级,E0级,30.8
2022-04,环保等级,E1级,18.1
2022-04,环保等级,未标注,11.3
2022-05,材质,实木,39.7
2022-05,材质,板式,23.2
2022-05,材质,布艺,20.5
2022-05,材质,皮质,16.6
2022-05,价格段,5千以下,26.2
2022-05,价格段,5千-1万,31.2
2022-05,价格段,1万-2万,24.5
2022-05,价格段,2万以上,18.2
2022-05,品牌,一线品牌,33.9
2022-05,品牌,二线品牌,25.7
2022-05,品牌,设计师品牌,22.6
2022-05,品牌,白牌,17.8
2022-05,环保等级,ENF级,40.5
2022-05,环保等级,E0级,31.4
2022-05,环保等级,E1级,17.2
2022-05,环保等级,未标注,10.9
2022-06,材质,实木,40.9
2022-06,材质,板式,23.7
2022-06,材质,布艺,19.7
2022-06,材质,皮质,15.6
2022-06,价格段,5千以下,26.2
2022-06,价格段,5千-1万,31.5
2022-06,价格段,1万-2万,24.0
2022-06,价格段,2万以上,18.3
2022-06,品牌,一线品牌,33.8
2022-06,品牌,二线品牌,25.7
2022-06,品牌,设计师品牌,23.3
2022-06,品牌,白牌,17.2
2022-06,环保等级,ENF级,41.1
2022-06,环保等级,E0级,31.1
2022-06,环保等级,E1级,17.5
2022-06,环保等级,未标注,10.3
2022-07,材质,实木,40.3
2022-07,材质,板式,24.6
2022-07,材质,布艺,19.9
2022-07,材质,皮质,15.2
2022-07,价格段,5千以下,26.7
2022-07,价格段,5千-1万,32.0
2022-07,价格段,1万-2万,23.8
2022-07,价格段,2万以上,17.4
2022-07,品牌,一线品牌,35.1
2022-07,品牌,二线品牌,26.6
2022-07,品牌,设计师品牌,22.7
2022-07,品牌,白牌,15.6
2022-07,环保等级,ENF级,41.0
2022-07,环保等级,E0级,32.4
2022-07,环保等级,E1级,17.0
2022-07,环保等级,未标注,9.5
2022-08,材质,实木,42.2
2022-08,材质,板式,22.3
2022-08,材质,布艺,20.4
2022-08,材质,皮质,15.1
2022-08,价格段,5千以下,26.2
2022-08,价格段,5千-1万,31.5
2022-08,价格段,1万-2万,24.1
2022-08,价格段,2万以上,18.3
2022-08,品牌,一线品牌,34.6
2022-08,品牌,二线品牌,26.5
2022-08,品牌,设计师品牌,22.8
2022-08,品牌,白牌,16.0
2022-08,环保等级,ENF级,42.1
2022-08,环保等级,E0级,31.5
2022-08,环保等级,E1级,17.2
2022-08,环保等级,未标注,9.1
2022-09,材质,实木,39.9
2022-09,材质,板式,23.5
2022-09,材质,布艺,20.0
2022-09,材质,皮质,16.6
2022-09,价格段,5千以下,25.7
2022-09,价格段,5千-1万,31.5
2022-09,价格段,1万-2万,24.2
2022-09,价格段,2万以上,18.5
2022-09,品牌,一线品牌,34.8
2022-09,品牌,二线品牌,26.2
2022-09,品牌,设计师品牌,23.4
2022-09,品牌,白牌,15.5
2022-09,环保等级,ENF级,42.2
2022-09,环保等级,E0级,32.2
2022-09,环保等级,E1级,16.4
2022-09,环保等级,未标注,9.2
2022-10,材质,实木,41.2
2022-10,材质,板式,23.6
2022-10,材质,布艺,19.3
2022-10,材质,皮质,15.9
2022-10,价格段,5千以下,26.1
2022-10,价格段,5千-1万,30.8
2022-10,价格段,1万-2万,25.3
2022-10,价格段,2万以上,17.7
2022-10,品牌,一线品牌,35.8
2022-10,品牌,二线品牌,24.5
2022-10,品牌,设计师品牌,24.4
2022-10,品牌,白牌,15.4
2022-10,环保等级,ENF级,43.0
2022-10,环保等级,E0级,31.5
2022-10,环保等级,E1级,16.9
2022-10,环保等级,未标注,8.6
2022-11,材质,实木,39.8
2022-11,材质,板式,24.9
2022-11,材质,布艺,18.8
2022-11,材质,皮质,16.4
2022-11,价格段,5千以下,26.0
2022-11,价格段,5千-1万,31.7
2022-11,价格段,1万-2万,24.6
2022-11,价格段,2万以上,17.7
2022-11,品牌,一线品牌,35.7
2022-11,品牌,二线品牌,25.6
2022-11,品牌,设计师品牌,22.8
2022-11,品牌,白牌,15.9
2022-11,环保等级,ENF级,42.2
2022-11,环保等级,E0级,32.3
2022-11,环保等级,E1级,16.8
2022-11,环保等级,未标注,8.7
2022-12,材质,实木,41.3
2022-12,材质,板式,23.0
2022-12,材质,布艺,19.5
2022-12,材质,皮质,16.2
2022-12,价格段,5千以下,25.5
2022-12,价格段,5千-1万,31.6
2022-12,价格段,1万-2万,24.8
2022-12,价格段,2万以上,18.1
2022-12,品牌,一线品牌,35.1
2022-12,品牌,二线品牌,26.0
2022-12,品牌,设计师品牌,22.8
2022-12,品牌,白牌,16.1
2022-12,环保等级,ENF级,42.0
2022-12,环保等级,E0级,30.7
2022-12,环保等级,E1级,17.0
2022-12,环保等级,未标注,10.3
2023-01,材质,实木,39.3
2023-01,材质,板式,24.5
2023-01,材质,布艺,19.2
2023-01,材质,皮质,17.0
2023-01,价格段,5千以下,25.9
2023-01,价格段,5千-1万,31.9
2023-01,价格段,1万-2万,24.6
2023-01,价格段,2万以上,17.6
2023-01,品牌,一线品牌,36.0
2023-01,品牌,二线品牌,25.9
2023-01,品牌,设计师品牌,23.2
2023-01,品牌,白牌,15.0
2023-01,环保等级,ENF级,40.8
2023-01,环保等级,E0级,30.6
2023-01,环保等级,E1级,17.9
2023-01,环保等级,未标注,10.8
2023-02,材质,实木,38.6
2023-02,材质,板式,24.8
2023-02,材质,布艺,19.8
2023-02,材质,皮质,16.8
2023-02,价格段,5千以下,24.5
2023-02,价格段,5千-1万,33.2
2023-02,价格段,1万-2万,24.5
2023-02,价格段,2万以上,17.7
2023-02,品牌,一线品牌,33.9
2023-02,品牌,二线品牌,26.6
2023-02,品牌,设计师品牌,23.5
2023-02,品牌,白牌,16.0
2023-02,环保等级,ENF级,40.9
2023-02,环保等级,E0级,31.4
2023-02,环保等级,E1级,17.2
2023-02,环保等级,未标注,10.5
2023-03,材质,实木,39.7
2023-03,材质,板式,23.8
2023-03,材质,布艺,19.2
2023-03,材质,皮质,17.3
2023-03,价格段,5千以下,25.0
2023-03,价格段,5千-1万,32.0
2023-03,价格段,1万-2万,24.9
2023-03,价格段,2万以上,18.2
2023-03,品牌,一线品牌,34.3
2023-03,品牌,二线品牌,26.6
2023-03,品牌,设计师品牌,23.9
2023-03,品牌,白牌,15.1
2023-03,环保等级,ENF级,40.9
2023-03,环保等级,E0级,32.1
2023-03,环保等级,E1级,16.6
2023-03,环保等级,未标注,10.4
2023-04,材质,实木,40.5
2023-04,材质,板式,23.3
2023-04,材质,布艺,19.6
2023-04,材质,皮质,16.6
2023-04,价格段,5千以下,25.2
2023-04,价格段,5千-1万,31.8
2023-04,价格段,1万-2万,24.2
2023-04,价格段,2万以上,18.8
2023-04,品牌,一线品牌,34.1
2023-04,品牌,二线品牌,25.9
2023-04,品牌,设计师品牌,23.5
2023-04,品牌,白牌,16.5
2023-04,环保等级,ENF级,41.4
2023-04,环保等级,E0级,31.0
2023-04,环保等级,E1级,17.0
2023-04,环保等级,未标注,10.6
2023-05,材质,实木,40.4
2023-05,材质,板式,23.8
2023-05,材质,布艺,18.9
2023-05,材质,皮质,16.9
2023-05,价格段,5千以下,24.6
2023-05,价格段,5千-1万,32.9
2023-05,价格段,1万-2万,24.5
2023-05,价格段,2万以上,18.1
2023-05,品牌,一线品牌,34.1
2023-05,品牌,二线品牌,26.2
2023-05,品牌,设计师品牌,23.3
2023-05,品牌,白牌,16.3
2023-05,环保等级,ENF级,41.3
2023-05,环保等级,E0级,31.4
2023-05,环保等级,E1级,16.2
2023-05,环保等级,未标注,11.1
2023-06,材质,实木,39.8
2023-06,材质,板式,23.7
2023-06,材质,布艺,19.4
2023-06,材质,皮质,17.2
2023-06,价格段,5千以下,25.0
2023-06,价格段,5千-1万,31.8
2023-06,价格段,1万-2万,25.0
2023-06,价格段,2万以上,18.1
2023-06,品牌,一线品牌,35.6
2023-06,品牌,二线品牌,27.0
2023-06,品牌,设计师品牌,23.1
2023-06,品牌,白牌,14.3
2023-06,环保等级,ENF级,41.7
2023-06,环保等级,E0级,32.5
2023-06,环保等级,E1级,15.7
2023-06,环保等级,未标注,10.1
2023-07,材质,实木,41.4
2023-07,材质,板式,22.4
2023-07,材质,布艺,18.7
2023-07,材质,皮质,17.5
2023-07,价格段,5千以下,25.2
2023-07,价格段,5千-1万,32.3
2023-07,价格段,1万-2万,25.0
2023-07,价格段,2万以上,17.6
2023-07,品牌,一线品牌,35.7
2023-07,品牌,二线品牌,25.5
2023-07,品牌,设计师品牌,24.1
2023-07,品牌,白牌,14.7
2023-07,环保等级,ENF级,43.5
2023-07,环保等级,E0级,30.9
2023-07,环保等级,E1级,16.4
2023-07,环保等级,未标注,9.2
2023-08,材质,实木,40.7
2023-08,材质,板式,23.9
2023-08,材质,布艺,19.6
2023-08,材质,皮质,15.8
2023-08,价格段,5千以下,25.8
2023-08,价格段,5千-1万,32.2
2023-08,价格段,1万-2万,24.4
2023-08,价格段,2万以上,17.7
2023-08,品牌,一线品牌,36.2
2023-08,品牌,二线品牌,25.9
2023-08,品牌,设计师品牌,24.0
2023-08,品牌,白牌,13.9
2023-08,环保等级,ENF级,44.7
2023-08,环保等级,E0级,31.5
2023-08,环保等级,E1级,16.0
2023-08,环保等级,未标注,7.8
2023-09,材质,实木,40.8
2023-09,材质,板式,23.7
2023-09,材质,布艺,18.8
2023-09,材质,皮质,16.7
2023-09,价格段,5千以下,24.1
2023-09,价格段,5千-1万,32.1
2023-09,价格段,1万-2万,25.8
2023-09,价格段,2万以上,18.0
2023-09,品牌,一线品牌,37.0
2023-09,品牌,二线品牌,25.7
2023-09,品牌,设计师品牌,23.5
2023-09,品牌,白牌,13.9
2023-09,环保等级,ENF级,43.9
2023-09,环保等级,E0级,31.6
2023-09,环保等级,E1级,16.0
2023-09,环保等级,未标注,8.6
2023-10,材质,实木,42.3
2023-10,材质,板式,22.8
2023-10,材质,布艺,17.5
2023-10,材质,皮质,17.4
2023-10,价格段,5千以下,24.1
2023-10,价格段,5千-1万,31.0
2023-10,价格段,1万-2万,25.4
2023-10,价格段,2万以上,19.5
2023-10,品牌,一线品牌,35.9
2023-10,品牌,二线品牌,26.2
2023-10,品牌,设计师品牌,23.7
2023-10,品牌,白牌,14.2
2023-10,环保等级,ENF级,44.5
2023-10,环保等级,E0级,31.5
2023-10,环保等级,E1级,15.8
2023-10,环保等级,未标注,8.2
2023-11,材质,实木,41.2
2023-11,材质,板式,24.0
2023-11,材质,布艺,18.5
2023-11,材质,皮质,16.4
2023-11,价格段,5千以下,25.0
2023-11,价格段,5千-1万,31.6
2023-11,价格段,1万-2万,25.2
2023-11,价格段,2万以上,18.2
2023-11,品牌,一线品牌,36.0
2023-11,品牌,二线品牌,25.7
2023-11,品牌,设计师品牌,23.6
2023-11,品牌,白牌,14.7
2023-11,环保等级,ENF级,44.7
2023-11,环保等级,E0级,32.0
2023-11,环保等级,E1级,15.8
2023-11,环保等级,未标注,7.5
2023-12,材质,实木,40.9
2023-12,材质,板式,23.3
2023-12,材质,布艺,18.5
2023-12,材质,皮质,17.3
2023-12,价格段,5千以下,24.4
2023-12,价格段,5千-1万,32.1
2023-12,价格段,1万-2万,24.9
2023-12,价格段,2万以上,18.6
2023-12,品牌,一线品牌,36.4
2023-12,品牌,二线品牌,24.9
2023-12,品牌,设计师品牌,23.8
2023-12,品牌,白牌,14.9
2023-12,环保等级,ENF级,42.3
2023-12,环保等级,E0级,31.5
2023-12,环保等级,E1级,16.8
2023-12,环保等级,未标注,9.3
2024-01,材质,实木,40.1
2024-01,材质,板式,24.0
2024-01,材质,布艺,18.8
2024-01,材质,皮质,17.1
2024-01,价格段,5千以下,24.3
2024-01,价格段,5千-1万,31.8
2024-01,价格段,1万-2万,25.1
2024-01,价格段,2万以上,18.8
2024-01,品牌,一线品牌,35.2
2024-01,品牌,二线品牌,25.4
2024-01,品牌,设计师品牌,24.0
2024-01,品牌,白牌,15.5
2024-01,环保等级,ENF级,44.3
2024-01,环保等级,E0级,30.9
2024-01,环保等级,E1级,15.0
2024-01,环保等级,未标注,9.8
2024-02,材质,实木,40.6
2024-02,材质,板式,23.7
2024-02,材质,布艺,18.7
2024-02,材质,皮质,17.0
2024-02,价格段,5千以下,25.0
2024-02,价格段,5千-1万,32.4
2024-02,价格段,1万-2万,25.1
2024-02,价格段,2万以上,17.5
2024-02,品牌,一线品牌,35.3
2024-02,品牌,二线品牌,26.0
2024-02,品牌,设计师品牌,23.5
2024-02,品牌,白牌,15.2
2024-02,环保等级,ENF级,43.0
2024-02,环保等级,E0级,31.5
2024-02,环保等级,E1级,16.6
2024-02,环保等级,未标注,8.8
2024-03,材质,实木,40.9
2024-03,材质,板式,23.0
2024-03,材质,布艺,18.8
2024-03,材质,皮质,17.2
2024-03,价格段,5千以下,24.1
2024-03,价格段,5千-1万,31.1
2024-03,价格段,1万-2万,25.1
2024-03,价格段,2万以上,19.8
2024-03,品牌,一线品牌,34.8
2024-03,品牌,二线品牌,24.9
2024-03,品牌,设计师品牌,25.3
2024-03,品牌,白牌,15.1
2024-03,环保等级,ENF级,42.2
2024-03,环保等级,E0级,31.5
2024-03,环保等级,E1级,16.0
2024-03,环保等级,未标注,10.4
2024-04,材质,实木,40.4
2024-04,材质,板式,22.5
2024-04,材质,布艺,20.0
2024-04,材质,皮质,17.2
2024-04,价格段,5千以下,24.1
2024-04,价格段,5千-1万,31.2
2024-04,价格段,1万-2万,25.4
2024-04,价格段,2万以上,19.2
2024-04,品牌,一线品牌,35.6
2024-04,品牌,二线品牌,25.2
2024-04,品牌,设计师品牌,24.6
2024-04,品牌,白牌,14.5
2024-04,环保等级,ENF级,43.9
2024-04,环保等级,E0级,30.9
2024-04,环保等级,E1级,16.0
2024-04,环保等级,未标注,9.2
2024-05,材质,实木,40.4
2024-05,材质,板式,22.6
2024-05,材质,布艺,19.7
2024-05,材质,皮质,17.4
2024-05,价格段,5千以下,23.3
2024-05,价格段,5千-1万,31.9
2024-05,价格段,1万-2万,25.8
2024-05,价格段,2万以上,19.0
2024-05,品牌,一线品牌,36.2
2024-05,品牌,二线品牌,25.0
2024-05,品牌,设计师品牌,23.4
2024-05,品牌,白牌,15.4
2024-05,环保等级,ENF级,43.3
2024-05,环保等级,E0级,30.9
2024-05,环保等级,E1级,16.8
2024-05,环保等级,未标注,9.0
2024-06,材质,实木,40.9
2024-06,材质,板式,23.9
2024-06,材质,布艺,17.6
2024-06,材质,皮质,17.6
2024-06,价格段,5千以下,23.7
2024-06,价格段,5千-1万,31.8
2024-06,价格段,1万-2万,25.9
2024-06,价格段,2万以上,18.6
2024-06,品牌,一线品牌,36.3
2024-06,品牌,二线品牌,26.0
2024-06,品牌,设计师品牌,24.1
2024-06,品牌,白牌,13.6
2024-06,环保等级,ENF级,44.5
2024-06,环保等级,E0级,30.6
2024-06,环保等级,E1级,17.2
2024-06,环保等级,未标注,7.7
2024-07,材质,实木,41.8
2024-07,材质,板式,22.4
2024-07,材质,布艺,18.2
2024-07,材质,皮质,17.6
2024-07,价格段,5千以下,24.3
2024-07,价格段,5千-1万,31.9
2024-07,价格段,1万-2万,25.2
2024-07,价格段,2万以上,18.6
2024-07,品牌,一线品牌,35.8
2024-07,品牌,二线品牌,26.0
2024-07,品牌,设计师品牌,24.3
2024-07,品牌,白牌,13.9
2024-07,环保等级,ENF级,45.5
2024-07,环保等级,E0级,32.3
2024-07,环保等级,E1级,15.5
2024-07,环保等级,未标注,6.7
2024-08,材质,实木,42.9
2024-08,材质,板式,22.2
2024-08,材质,布艺,17.5
2024-08,材质,皮质,17.4
2024-08,价格段,5千以下,24.0
2024-08,价格段,5千-1万,31.8
2024-08,价格段,1万-2万,25.1
2024-08,价格段,2万以上,19.0
2024-08,品牌,一线品牌,36.6
2024-08,品牌,二线品牌,26.7
2024-08,品牌,设计师品牌,24.5
2024-08,品牌,白牌,12.1
2024-08,环保等级,ENF级,45.6
2024-08,环保等级,E0级,31.5
2024-08,环保等级,E1级,15.7
2024-08,环保等级,未标注,7.3
2024-09,材质,实木,43.4
2024-09,材质,板式,22.0
2024-09,材质,布艺,17.9
2024-09,材质,皮质,16.7
2024-09,价格段,5千以下,23.0
2024-09,价格段,5千-1万,32.5
2024-09,价格段,1万-2万,26.2
2024-09,价格段,2万以上,18.3
2024-09,品牌,一线品牌,36.3
2024-09,品牌,二线品牌,25.7
2024-09,品牌,设计师品牌,25.2
2024-09,品牌,白牌,12.8
2024-09,环保等级,ENF级,46.3
2024-09,环保等级,E0级,31.9
2024-09,环保等级,E1级,14.5
2024-09,环保等级,未标注,7.2
2024-10,材质,实木,42.9
2024-10,材质,板式,23.0
2024-10,材质,布艺,17.3
2024-10,材质,皮质,16.8
2024-10,价格段,5千以下,23.7
2024-10,价格段,5千-1万,32.0
2024-10,价格段,1万-2万,26.3
2024-10,价格段,2万以上,18.0
2024-10,品牌,一线品牌,37.6
2024-10,品牌,二线品牌,26.3
2024-10,品牌,设计师品牌,23.9
2024-10,品牌,白牌,12.2
2024-10,环保等级,ENF级,44.8
2024-10,环保等级,E0级,32.2
2024-10,环保等级,E1级,14.5
2024-10,环保等级,未标注,8.4
2024-11,材质,实木,41.1
2024-11,材质,板式,22.1
2024-11,材质,布艺,18.5
2024-11,材质,皮质,18.3
2024-11,价格段,5千以下,24.0
2024-11,价格段,5千-1万,32.2
2024-11,价格段,1万-2万,25.4
2024-11,价格段,2万以上,18.4
2024-11,品牌,一线品牌,37.4
2024-11,品牌,二线品牌,25.0
2024-11,品牌,设计师品牌,24.2
2024-11,品牌,白牌,13.3
2024-11,环保等级,ENF级,45.6
2024-11,环保等级,E0级,31.1
2024-11,环保等级,E1级,15.6
2024-11,环保等级,未标注,7.7
2024-12,材质,实木,41.8
2024-12,材质,板式,23.5
2024-12,材质,布艺,17.2
2024-12,材质,皮质,17.5
2024-12,价格段,5千以下,23.4
2024-12,价格段,5千-1万,31.6
2024-12,价格段,1万-2万,25.9
2024-12,价格段,2万以上,19.1
2024-12,品牌,一线品牌,36.8
2024-12,品牌,二线品牌,25.1
2024-12,品牌,设计师品牌,23.6
2024-12,品牌,白牌,14.4
2024-12,环保等级,ENF级,46.0
2024-12,环保等级,E0级,31.7
2024-12,环保等级,E1级,15.3
2024-12,环保等级,未标注,7.0
2025-01,材质,实木,40.0
2025-01,材质,板式,22.7
2025-01,材质,布艺,19.0
2025-01,材质,皮质,18.4
2025-01,价格段,5千以下,23.5
2025-01,价格段,5千-1万,32.0
2025-01,价格段,1万-2万,26.1
2025-01,价格段,2万以上,18.4
2025-01,品牌,一线品牌,36.9
2025-01,品牌,二线品牌,25.4
2025-01,品牌,设计师品牌,24.7
2025-01,品牌,白牌,13.0
2025-01,环保等级,ENF级,46.5
2025-01,环保等级,E0级,31.6
2025-01,环保等级,E1级,15.4
2025-01,环保等级,未标注,6.5
2025-02,材质,实木,40.3
2025-02,材质,板式,23.2
2025-02,材质,布艺,19.0
